plot,treatment,diameter
1,burneda,4
2,burneda,10
3,burneda,0
4,burneda,5.5
5,burneda,5
6,burneda,0
7,burneda,5
8,burneda,7
9,burneda,15
10,burneda,10
11,burneda,7
12,burneda,3
13,burnedb,9
14,burnedb,10
15,burnedb,11
16,burnedb,14
17,burnedb,15
18,burnedb,9
19,burnedb,7
20,burnedb,9
21,burnedb,13
22,burnedb,13
23,burnedb,11
24,burnedb,14
