Plot #,Enclosed ,Not Enclosed 
1,0.96,0.76
2,4.95,1.8
3,3.32,1.34
4,0.89,1.19
5,2.72,6.59
6,7.7,3.68
7,4.34,1.83
8,5.46,3.74
9,0.63,0.53
10,8.78,21.32
11,8.14,1.04
12,18.88,12.68
13,6.5,0
14,1.82,1.15
15,5.91,1.75
16,0,0
17,1.76,1.54
18,0,0
19,0,0
20,0,0
21,1.17,0
22,1.09,0
23,8.72,0
24,0,0
25,0,0
26,0,0
27,25.46,1.83
28,10.39,4.49
29,0,0
30,0,0
31,3.39,1.42
32,9.47,0
33,7.32,0
34,0,0
35,18.56,1.94
36,5.06,1.97
